IDNr,Genus,Species,Cultivar,Dutch,English,From_where,Rootstock_species,Rootstock_source,Date_seeded,Date_grafted,Date_planted,Date_sold,Price,Size,Pot,Picture_filename,Comment,Customer,Long,Lat
21-0073,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0074,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0075,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0076,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0077,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0078,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0079,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0080,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0081,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0082,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0083,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0084,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0085,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,,30,,W,,65x uit tafel 2 (entomatic prototype),,,
